,SN,District,Death and Injury,,House Destroyed,,,,District Code
,,,Death,Injury,Government,,Other,,
,,,,,Complete,Partial,Complete,Partial,
,,Total,"8,648","16,808",978,3021,500223,269156,
,1,Sindhupalchok,3426,859,0,0,63885,2751,63885
,2,Kathmandu,1218,4634,0,0,36973,50753,36973
,3,Nuwakot,1061,1311,14,15,57943,4200,57943
,4,Dhading,732,702,93,58,43741,18720,43741
,5,Rasuwa,591,753,0,0,7040,2410,7040
,6,Gorkha,440,0,45,16,44650,13430,44650
,7,Bhaktapur,330,1861,0,0,18900,9090,18900
,8,Kavrepalanchok,318,2780,0,0,49933,23714,49933
,9,Lalitpur,182,2529,168,136,16526,5851,16344
,10,Dolakha,165,304,0,0,48880,3120,48880
,11,Ramechhap,39,34,54,56,26743,13173,26743
,12,Makwanpur,33,127,46,177,15012,17042,15012
,13,Solukhumbu,22,80,75,142,8555,8828,2505
,14,Okhaldhunga,19,53,1,191,10031,3107,2074
,15,Sindhuli,14,148,60,216,18197,10028,12704
,16,Sunsari,9,25,0,42,2,63,2
,17,Chitawan,9,95,0,40,472,754,2046
,18,Parsa,6,23,0,12,0,35,0
,19,Bara,5,1,1,0,50,0,50
,20,Lamjung,5,31,39,48,8125,6420,7943
,21,Mahottari,3,10,10,14,500,600,72
,22,Rautahat,3,26,0,9,70,199,0
,23,Morang,2,48,0,51,3,112,3
,24,Bhojpur,2,8,0,21,1414,3513,1414
,25,Sarlahi,2,50,7,27,0,0,4
,26,Kaski,2,30,10,45,1744,6963,0
,27,Taplejung,1,4,0,69,51,436,1744
,28,Terhathum,1,2,0,60,91,603,51
,29,Udayapur,1,29,52,460,95,516,80
,30,Siraha,1,24,0,20,0,540,95
,31,Dhanusa,1,19,0,8,4,47,355
,32,Nawalparasi,1,13,0,14,408,3099,1435
,33,Palpa,1,15,2,24,1434,2665,4927
,34,Gulmi,1,6,73,271,2100,4375,47
,35,Rolpa,1,5,0,6,47,128,61
,36,Rukum,1,1,10,16,136,976,229
,37,Panchthar,0,5,22,5,229,926,316
,38,Ilam,0,6,34,42,316,2032,4
,39,Jhapa,0,19,0,46,95,144,450
,40,Dhankuta,0,2,0,39,450,1500,845
,41,Sankhuwasabha,0,5,88,208,1327,3031,2110
,42,Khotang,0,4,18,55,2110,4986,0
,43,Saptari,0,17,0,28,0,355,0
,44,Rupandehi,0,30,1,17,1,79,1
,45,Kapilbastu,0,3,0,23,0,66,0
,46,Arghakhanchi,0,2,0,8,189,352,140
,47,Syangja,0,6,4,21,3119,9695,1780
,48,Tanahu,0,21,22,54,4927,15918,3119
,49,Manang,0,1,8,12,63,285,63
,50,Mustang,0,1,2,19,56,616,56
,51,Myagdi,0,7,0,0,115,1077,115
,52,Baglung,0,6,2,4,1625,1963,1275
,53,Parbat,0,11,12,63,1805,4169,1743
,54,Dang,0,3,1,28,7,1080,7
,55,Pyuthan,0,7,0,0,3,66,3
,56,Salyan,0,2,1,17,24,282,18
,57,Dolpa,0,0,0,0,1,5,1
,58,Mugu,0,0,0,0,0,0,0
,59,Humla,0,0,0,0,0,0,0
,60,Jumla,0,2,0,0,0,2,0
,61,Kalikot,0,0,3,17,4,15,2
,62,Jajarkot,0,1,0,8,0,1877,0
,63,Dailekh,0,0,0,25,1,216,0
,64,Surkhet,0,3,0,11,1,31,1
,65,Bardiya,0,2,0,0,0,40,0
,66,Banke,0,0,0,0,0,81,0
,67,Kailali,0,1,0,5,0,4,0
,68,Doti,0,0,0,1,0,0,0
,69,Achham,0,0,0,0,0,0,0
,70,Bajura,0,0,0,0,0,1,0
,71,Bajhang,0,0,0,0,0,0,0
,72,Darchula,0,0,0,0,0,0,0
,73,Baitadi,0,0,0,0,0,0,0
,74,Dadeldhura,0,0,0,0,0,1,0
,75,Kanchanpur,0,1,0,1,0,0,0
